Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
Size,Compares,Swaps,Hits
0,0,0,0
